player,age,team,league,war,games,plate_appearances,at_bats,runs,hits,homeruns,runs_batted_in,stolen_bases,bases_on_balls,strikeouts,on_base_percentage,slugging_percentage,on_base_plus_slugging_percentage,adjusted_on_base_plus_slugging_percentage,total_bases,sacrifice_hits,sacrifice_flys,position
Dustin Harris*,26.0,2TM,AL,0.0,17.0,52.0,43.0,6.0,10.0,0.0,5.0,4.0,6.0,7.0,0.333,0.302,0.636,80.0,13.0,1.0,1.0,7/9H
Dustin Harris*,26.0,CHW,AL,0.2,6.0,16.0,12.0,2.0,3.0,0.0,1.0,2.0,4.0,1.0,0.438,0.333,0.771,121.0,4.0,0.0,0.0,/9H7
Dustin Harris*,26.0,HOU,AL,-0.2,11.0,36.0,31.0,4.0,7.0,0.0,4.0,2.0,2.0,6.0,0.286,0.29,0.576,62.0,9.0,1.0,1.0,7/9H
Elias Díaz,35.0,2TM,AL,0.5,23.0,52.0,50.0,7.0,14.0,2.0,10.0,0.0,1.0,10.0,0.288,0.48,0.768,117.0,24.0,0.0,1.0,2/DH
Elias Díaz,35.0,KCR,AL,0.3,10.0,23.0,22.0,3.0,5.0,2.0,5.0,0.0,1.0,5.0,0.261,0.591,0.852,132.0,13.0,0.0,0.0,2
Elias Díaz,35.0,TEX,AL,0.2,13.0,29.0,28.0,4.0,9.0,0.0,5.0,0.0,0.0,5.0,0.31,0.393,0.703,105.0,11.0,0.0,1.0,2/DH
Zach Dezenzo,26.0,HOU,AL,0.2,21.0,51.0,47.0,5.0,9.0,1.0,2.0,0.0,4.0,19.0,0.255,0.34,0.595,65.0,16.0,0.0,0.0,7/H
Petey Halpin*,24.0,CLE,AL,-0.1,26.0,51.0,48.0,8.0,9.0,0.0,1.0,2.0,1.0,15.0,0.204,0.25,0.454,27.0,12.0,2.0,0.0,8/H9
Bryce Teodosio,27.0,LAA,AL,-0.3,34.0,51.0,47.0,5.0,10.0,0.0,2.0,4.0,3.0,18.0,0.26,0.255,0.515,47.0,12.0,1.0,0.0,7/8H9
Orlando Arcia,31.0,MIN,AL,0.0,19.0,50.0,48.0,6.0,13.0,1.0,2.0,0.0,2.0,8.0,0.3,0.354,0.654,81.0,17.0,0.0,0.0,6/4H351
LuJames Groover,24.0,ARI,NL,0.0,13.0,49.0,43.0,4.0,8.0,1.0,4.0,0.0,5.0,8.0,0.286,0.302,0.588,64.0,13.0,0.0,0.0,/3D5
