player,age,team,league,war,games,plate_appearances,at_bats,runs,hits,homeruns,runs_batted_in,stolen_bases,bases_on_balls,strikeouts,on_base_percentage,slugging_percentage,on_base_plus_slugging_percentage,adjusted_on_base_plus_slugging_percentage,total_bases,sacrifice_hits,sacrifice_flys,position
Jo Adell,27.0,LAA,AL,-0.1,81.0,341.0,319.0,37.0,79.0,10.0,41.0,3.0,10.0,79.0,0.29,0.386,0.676,89.0,123.0,0.0,2.0,*9/7D8
Freddie Freeman*,36.0,LAD,NL,2.2,78.0,341.0,294.0,45.0,83.0,13.0,43.0,2.0,41.0,57.0,0.372,0.486,0.859,139.0,143.0,0.0,3.0,*3
Cody Bellinger*,30.0,NYY,AL,4.0,79.0,340.0,288.0,46.0,77.0,11.0,49.0,10.0,47.0,46.0,0.365,0.458,0.823,128.0,132.0,0.0,5.0,*78/93DH
Rafael Devers*,29.0,SFG,NL,0.5,80.0,340.0,310.0,36.0,73.0,12.0,38.0,0.0,27.0,101.0,0.297,0.432,0.729,106.0,134.0,0.0,2.0,*3D
Otto Lopez,27.0,MIA,NL,3.8,80.0,340.0,315.0,51.0,107.0,6.0,35.0,16.0,16.0,48.0,0.374,0.483,0.856,141.0,152.0,0.0,5.0,*6/DH
Brandon Nimmo*,33.0,TEX,AL,1.6,79.0,340.0,306.0,32.0,81.0,8.0,28.0,3.0,26.0,70.0,0.332,0.425,0.757,121.0,130.0,0.0,2.0,*9/D8H
Shohei Ohtani*,31.0,LAD,NL,2.9,73.0,340.0,275.0,56.0,81.0,17.0,46.0,6.0,54.0,78.0,0.414,0.549,0.963,168.0,151.0,0.0,4.0,*D1/H
Ozzie Albies#,29.0,ATL,NL,2.2,79.0,339.0,303.0,51.0,85.0,12.0,42.0,1.0,24.0,39.0,0.333,0.446,0.779,118.0,135.0,0.0,8.0,*4
Riley Greene*,25.0,DET,AL,1.5,81.0,339.0,291.0,40.0,85.0,9.0,34.0,1.0,44.0,92.0,0.386,0.44,0.826,129.0,128.0,0.0,2.0,*7/DH
Xavier Edwards#,26.0,MIA,NL,2.5,81.0,338.0,294.0,44.0,86.0,6.0,28.0,11.0,40.0,43.0,0.374,0.425,0.799,127.0,125.0,1.0,3.0,*4/D
Bryce Harper*,33.0,PHI,NL,2.1,81.0,338.0,283.0,54.0,76.0,18.0,47.0,5.0,50.0,64.0,0.373,0.523,0.896,141.0,148.0,0.0,5.0,*3/D
Fernando Tatis Jr.,27.0,SDP,NL,1.0,78.0,338.0,300.0,35.0,85.0,3.0,28.0,19.0,30.0,68.0,0.347,0.367,0.714,101.0,110.0,1.0,5.0,94/HD
JJ Wetherholt*,23.0,STL,NL,3.6,74.0,338.0,290.0,49.0,76.0,12.0,34.0,8.0,35.0,53.0,0.361,0.414,0.775,120.0,120.0,0.0,2.0,*4/6H
Jonathan Aranda*,28.0,TBR,AL,1.0,77.0,337.0,282.0,40.0,81.0,12.0,54.0,0.0,44.0,78.0,0.386,0.457,0.843,133.0,129.0,0.0,6.0,*3/DH
Alec Burleson*,27.0,STL,NL,1.8,77.0,337.0,302.0,42.0,87.0,13.0,57.0,2.0,29.0,49.0,0.353,0.49,0.843,137.0,148.0,0.0,3.0,*3/HD
